American アメリカ人
April 4月
August 8月
Bible 聖書
Christian キリスト教
Chrismas クリスマス
December 12月
Eastern 東の
February 2月
Friday 金曜日
January 1月
July 7月
June 6月
Link リンク
Monday 月曜日
November 11月
OK オーケー
October 10月
PIN 個人識別番号
Pole ポーランド人
Saturday 土曜日
September 9月
Sunday 日曜日
Thursday 木曜日
Tuesday 火曜日
Wednesday 水曜日
accident ～によれば
according 積極的な
active おとな
adult 利益
advantage 冒険
adventure 気取った
affected ～を持つ(買う)余裕がある
afford その後
afterward 空港
airport 古代の
ancient 誰か
anybody それはさておき
anyway (疑問文で)どこかへ
anywhere アパート
apartment 外見
appearance 申し込み
application ～を試みる
attempt 著者
author 利用できる
available 平均
average ～を避ける
avoid (音楽の)バンド
band 土手
bank 銀行業
bar 法曹界
basic 基本の
battle 闘い
beach 浜辺
bear ～に耐える
beard あごひげ
bedroom 寝室
belonging 所持品
belt ベルト
benefits 給付
bent 好み
bill 請求書
binding 縛ること
birth 誕生
bore ～を退屈させる
born 生まれる
borrow ～を借りる
boss 上司
bother ～を困らせる
bowl ボウル
brain 脳
breathing 呼吸
brush ブラシをかける
burnt 燃えた
calendar カレンダー
camp 収容所
capital 大文字
carefully 注意深く
casle 城
ceiling 天井
cent セント
center 中心の
certainly 確かに
chapter 章
character 性格
charge ～に(料金など)を請求する
cheese チーズ
chicken トリ肉
clearly はっきりと
clerk 事務員
collect ～を集める(収集する)
collection 収集
college 大学
comfortable 快適な
commercial 商業(上)の
communication 意思疎通
completely 完全に
computer コンピューター
concert 演奏会
connected つながって
conversation 会話
cousin いとこ
crazy 正気でない
credit 信用
crown 王冠
cultural 文化的な
curtain カーテン
curved 曲がった
customer 顧客
dad お父さん
danger 危険
dangerous 危険な
dare あえて(～)する
daring 大胆な
decide ～を決意する
degree 学位
delay ～を遅らせる
demand ～を要求する
depend 頼る
design ～をデザインする
designing 設計
development 発展
difficulties 困難
direct ～に道を教える
direction 方向
directly 直接に
discusson 議論
district 地区
dollar ドル
dollars ドル
double 2倍にする
doubt 疑い
draw ～を描く
driver 運転手
drum ドラム
due 期限の来た
duty 義務
earn 稼ぐ
easily 簡単に
education 教育
eighteenth 18番目の
eighth 8番目の
elder 年上の
electricity 電気
elephant ゾウ
energy エネルギー
engineer 技師
entrance 入場
envelope 封筒
equal 等しい
equipment 機器
established 立証された
everybody すべての人
everywhere あらゆるところで[へ]
exactly 正確に
examination 試験
excellent すばらしい
exchange ～を交換する
exicited わくわくした
exciting わくわくさせる
exist 存在する
expensive 高価な
factory 工場
fair 公平な
fan ファン
favored 好意をもたれている
favorite (一番の)お気に入りの
female 女性の
fifteenth 15番目の
final 最終の
finally 最終的に
financial 財政上の
fit ふさわしい
floating 浮いている
fork 分岐する
fourteenth 14番目の
friendly 仲がよい
funny おもしろい
furniture 家具
further さらなる
garbage ごみ
generally 一般的に
gift 天賦の才能
glass コップ
glasses 眼鏡
goal 目標
golf ゴルフ
governing 統治する
grandfather 祖父
grandmother 祖母
gray 灰色の
grove 林
guest 招待された客
guy 奴
hall 会館
happen 起こる
hate ～を憎む
herself 彼女自身を
hey ねえ
hurry 急ぐ
immediately 即座に
importance 重要性
impossible 不可能な
indeed 本当に
independent 独立した
informed 知識のある
insect 昆虫
